,index,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
32,1316,1316,Dhirajlal Talakchand Sankalchand Shah College of Commerce - DTSS - Courses,Maharashtra,Mumbai,https://dtss.sanskarsarjan.org/,"Kurar, Malad (E), Mumbai, Maharashtra 400097, India","[' 8591377595,  8433888534, 8591376800']"
33,1352,1352,Divine Image College - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/278/madurai-kamaraj-university/,"Ashoka Shopping Center, Navghar Road, Navgarh, Bhayander East, Mumbai, Maharashtra 401105, India","['(022) 28165569 / ', ' 9892770044']"
34,1376,1376,Don Bosco Institute of Technology - Courses,Maharashtra,Mumbai,http://www.dbit.in/,"Premier Automobiles Road, Opposite Fiat Company, Kurla (W), Mumbai, Maharashtra 400070, India",['(022) 68878700']
35,1420,1420,Dr. BMN College of Home Science - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/14974/shreemati-nathibai-damodar-thackersey-women-university-churchgate/,"338, Rafi Ahmed Kidwai Road, Matunga, Mumbai, Maharashtra 400019, India","['(022) 24095792, 24035296']"
36,1557,1557,EDIT - Educators in Design and Internet Technology - Andheri West,Maharashtra,Mumbai,http://edit.co.in/,"Madhaveshwar CHS, First Floor, Flat No. 8, Above Bootmaker, Next to Andheri West Bus Depot, S.V. Road, Andheri(W), Mumbai, Maharashtra 400053, India",[' 8433935124']
37,1560,1560,EDIT - Educators in Design and Internet Technology - Charni Road,Maharashtra,Mumbai,,"101 Anmol society, French Bridge, Opera House, Girgaon, Mumbai, Maharashtra 400004, India",[' 8433935124']
38,1561,1561,EDIT - Educators in Design and Internet Technology - Dadar West,Maharashtra,Mumbai,http://edit.co.in/,"203, 2nd Floor, Ramkunj CHS, R.K. Vaidya Road, Near Saibaba Mandir, Dadar(W)
, Mumbai, Maharashtra 400028, India",[' 8433935124']
39,1562,1562,EDIT - Educators in Design and Internet Technology - Ghatkopar (East),Maharashtra,Mumbai,,"310, Sai Infotech, Station Road, Near Railway Station, Ghatkopar (East), Mumbai, Maharashtra 400077, India",[' 9820046072']
40,1567,1567,EDIT - Educators in Design and Internet Technology - Mulund,Maharashtra,Mumbai,,"601, Parmeshwari Plaza, Above HDFC Bank, N.S. Road, Near Mulund (West) Station, Mumbai, Maharashtra 400080, India",[' 9819646072']
41,1569,1569,EDIT - Educators in Design and Internet Technology - Thane West - Courses,Maharashtra,Mumbai,,"Jaishree Aarpments, 3rd Floor, Opposite Alok Restaurant, Ghokhale Road, Near Thane West Railway Station, Thane(W), Mumbai, Maharashtra 400604, India",[' 8080607170']
42,1571,1571,EDIT - Educators in Design and Internet Technology - Vashi - Courses,Maharashtra,Mumbai,http://edit.co.in/,"701, 7th Floor, Realtech Park, Plot No. 39/2, Above LG Showroom, Sector 30-A, Vashi, Mumbai, Maharashtra 400701, India",['(022) 27811024']
43,1586,1586,Eminent Institute of Management and Technology - EIMT,Maharashtra,Mumbai,http://www.eminentinstitute.org/,"138, Softnet Computer, Harmony Plaza, Opposite State Bank of India, Boisar
, Mumbai, Maharashtra 401501, India",[' 8552068520']
44,1608,1608,Excel College of Higher Education - Courses,Maharashtra,Mumbai,,"153, Second Floor, Raghuleela Mall Opposite Vashi Station, Vashi, Navi Mumbai, Mumbai, Maharashtra 400703, India",['(022) 40137932']
45,1641,1641,Fortius Institute of Training - Courses,Maharashtra,Mumbai,,"K-104, First Floor, Tower No. 6, International Infotech Park, Vashi Railway Station Complex, Mumbai, Maharashtra 400705, India",['(022) 67126000']
46,1646,1646,Fr. Conceicao Rodrigues College of Engineering - Courses,Maharashtra,Mumbai,http://www.frcrce.ac.in,"Fr. Agnel Ashram, Bandstand, Bandra (W), Mumbai, Maharashtra 400050, India",['(022) 67114000']
47,1684,1684,Gandhi Institute of Computer Education and Information Technology,Maharashtra,Mumbai,http://www.bhavans.info/college/gandhi_computer.asp,"Bharatiya Vidya Bhavan, Kulapati K.M. Munshi Marg, Mumbai, Maharashtra 400007, India","['(022) 23697098, 23684924, 23634462, 23634464']"
48,1708,1708,Garware Institute of Career Education and Development - GICED - Courses,Maharashtra,Mumbai,http://gicededu.co.in/,"Vidyanagari, Santacruz (East), Mumbai, Maharashtra 400098, India","['(022) 69195614, 69195607, 69195605 / ', ' 9987395457, 9702142191, 8104412071']"
49,1767,1767,Ghanshyamdas Saraf Girls College of Arts and Commerce - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Rajasthani Sammelan's Educational Complex, S.V. Road, Malad (West), Mumbai, Maharashtra 400064, India","['(022) 45207766, 45207777']"
50,1810,1810,Globenet Computer Education - Courses,Maharashtra,Mumbai,http://www.globeneteducation.in/,"43, Salex Center, Kalina, Opposite Archies Gallary, Santacruz (E), Mumbai, Maharashtra 400029, India","['(022) 26664215 / ', ' 9324042517, 9594323879, 7977323879']"
